Author,Comment
@3_que_khat_nuoc,Mấy bà dân Nghệ An Hà Tĩnh làm chung với mẹ mình hồi Văn Quyến đang nổi tiếng thì suốt ngày nhận cùng quê rồi ca ngợi tự hào này nọ 😂 đến lúc bị bắt vì bán độ thì... Im re ko thấy ai nhắc đến hay kêu đồng hương nữa 🤧😂. Bác Hồ từng nói rồi.  Tài mà ko có đức thì cũng bỏ đi thôi vì nó sẽ làm hại cho xã hội rất lớn so với người ko có tài.
@huantrieu6477,Có tài mà không có đức thì cũng vứt..
@GiaSung-wn5je,Thần đồng gì cái thằng bán nước
@kimtanat8409,1000 năm sau.. chưa tìm đc Văn Quyến thứ 2
@Thanhthanh10623,Tài thường đi kèm với xỉu 😢
@ductai6352,Bán độ mà thiên tài cc. Loại này phải loại khỏi xã hội
@baomanh9768,TT mắt dạy bám rẻ tổ quốc  văn quyến nhắc lại làm gì
@locthan8832,"Ko nói đến tai tiếng vụ bán độ năm 2005, theo tôi Văn Quyến là cầu thủ tài năng nhất BĐVN từng có đc, cho cả tới bây giờ. Nói về tài năng thiên bẩm ko ai bằng đc Quyến trong cả lịch sử BĐVN. Những bạn trẻ bây giờ vì ko đc xem Quyến chơi bóng thời đỉnh cao nên ko nghĩ rằng anh từng giỏi đến như vậy."
@DuyHàohoalan,Làm đéo gì mà đã thiên tài
@KhanhLe_91,"Rồng vàng là ai z,là việt nam hở😂😂😂 cười ĩa"
@Ocmo0007TAMSAOTHẤTBẢN,Ban nho h thân mập quá hì
@KiHoang-xi6sn,Mot ti bai xam qua day hay dep nhungbinh luan vo van nay di .qua cu rich.
@trungnani578,Nhin Vq co net gi do rat giong Rooney
@luyenngoc8333,thật tiếc cho cầu thủ văn  quyến
@PhúPhan-k5b,Tiền đạo Việt nam giờ ai đi bóng được như vq
@bacnguyen5548,Mày làm nhục cảm người nghệ an tốt bụng
@bacnguyen5548,Mang tiếng cả dân ngệ an nhục
@bacnguyen5548,Chỉ có bọn ba que mới ủng hộ mày
@bacnguyen5548,Thằng phản quốc
@dangdinhlong84,Cho đến nay thì Việt Nam chưa có tiền đạo nào xs như VQ
@tranthanhdat1310,Bây giờ còn CF nào như vậy tiến linh thì có nhưng pha bước 1 ối dồi ôi chỉ có công phượng là gần giống nhưng cũng k bằng
@quangcaotrucnhu4074,"thật tiếc cho 1 ngôi sao,  từ đó đến h ko còn xuất hiện một ct nào có tư duy chơi bóng như vậy, tư duy của ngôi sao vẫn khác biệt hoàn toàn, chứ bây h nhìn cầu thủ đá bóng theo kiểu lười lờ đờ ko mãnh lực thật tiếc"
@thuchuvan5273,Văn quyến có tải nhưng thiếu đức thỉ bỏ
@namquang9004,Tiếc
@nguyenthanhnhonhdthanhnhon3148,"Vẫn là sát thủ số một VN, từ đi bóng tới dứt điểm"
@DiệpNguyễnNgọc-h3r,Lúc nó mới nổi thì tung hô quá mức khi có tí sai phạm thì vùi dập làm phí cả một tài năng
@SonHoang-tn4ej,Quyến lạc lối 1 phần là do bản thân còn lại là do các nhà quản lý nhân lực
@nguyenminhtamnguyenminhtam9476,Trần bán nước đó hả? Không xứng đáng là con dân VN
@QuangPham-rq8yg,Sau những thất bại của VN gần đây tôi lại buồn và tiếc nhớ đến VQ. Tôi mong a sẽ dẫn dắt đội tuyển Việt Nam. Có ai nghĩ như tôi ko❤
@hunginh5508,Lứa cr7
@thanhduong-bq6uf,"Thần đồng được nuôi dưỡng trong môi trường đầy cám dỗ lại không được dạy dỗ chuẩn mực vì xuất thân từ nghèo khó nên dễ bị đồng tiền làm lạc lối . Tiếc cho một thiên tài bị dìm trong cám dỗ , nếu chăm đọc sách em ấy sẽ học được tấm gương vượt khó của Bebeto, romario, ronaldinho... thì biết đâu Việt Nam có đã có được một ngôi sao kiệt xuất trên dãy ngân hà bóng đá quốc tế."
@anhtuanvu184,"Văn Quyến theo quan điểm mình là Tiền Đạo sát thủ nhất của Việt Nam từ trc tới nay. Kỹ thuật tuyệt vời, dứt điểm quá xuất sắc.thật đáng tiếc cho Quyến. Thời những năm 2000 thanh niên vn nào cũng mê quyến mê mệt."
@HaiNguyen-1988,Quyến chạy cũng nhanh đấy
@amtran6122,Văn quyến rất bình thường...
@hqcomputer4869,"thiếu đề tài để viết hay sao, mh xem bd ông này toàn đi bộ lên tuyển mới chịu chay, thái độ mà cứ khen mới lạ"
